idCliente;Nombre;ApellidoPaterno;ApellidoMaterno;Telefono;idCiudad;Direccion;Email
22589635;Andrea;Rodriguez;Perez;3154748963;1;Calle82#49-23;hubert.ferrerg8@gmail.com
1140568965;Camilo;Sepulveda;;3564512789;2;Calle80B#49-24;hubert.ferrerg8@gmail.com
8956321;Sebastian;Gonzalez;Solano;996321478;3;Calle42#29-25;hubert.ferrerg8@gmail.com
1141567423;Santiago;Guerrero;Olivero;3214556897;1;Carrera27#49-26;hubert.ferrerg8@gmail.com
12345678;Kiara;Molina;;3217889621;4;Calle41#32-27;hubert.ferrerg8@gmail.com
25786312;Luis;Molinares;Martinez;96321456;2;Calle15#20-28;hubert.ferrerg8@gmail.com
12496785;Sofia;Benitez;Fernandez;3145622312;3;Calle21#33-29;hubert.ferrerg8@gmail.com
68543210;Mia;Perez;Gonzalez;3012567462;1;Carrera10#49-30;hubert.ferrerg8@gmail.com
10245698;Helena;Velasco;Jaramillo;3024112369;4;Carrera30#47-31;hubert.ferrerg8@gmail.com
1140621789;Andres;Vargas;;3207895112;3;Calle47#27-32;hubert.ferrerg8@gmail.com
1140621793;Maria;Mei;;3034123569;5;Calle25#89-33;hubert.ferrerg8@gmail.com
11204789;Juan;Velasquez;Carrillo;312489753;6;Carrera82#49-34;hubert.ferrerg8@gmail.com
75896412;Bastian;Paez;Barrero;310756182;1;Calle30#49-35;hubert.ferrerg8@gmail.com
25463124;Jorge;Perez;Baquero;311795123;2;Carrera15#49-36;hubert.ferrerg8@gmail.com
8912453;Diego;Jimeno;Ortega;323741963;2;Calle82#49-79;hubert.ferrerg8@gmail.com
